turbidez,B01,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
2.0,0.0302636386757646,0.0356937512341472,0.0527605490276106,0.0386187790858524,0.0289293221301502,0.0178782609463841,0.0182466284130458,0.0148110031991058,0.0088304039780739,0.0061622379278695,0.0156771340234963
3.0,0.0187440237237347,0.0274500172171327,0.0449796525968445,0.0280400862296422,0.018780584136645,0.0076927910558879,0.0075710537946886,0.0076232368850873,0.0017728234589513,0.0001120222861775,0.0033048926723293
4.0,0.0291406510190831,0.0364585245649019,0.0546311725758843,0.0397925334982573,0.0297667229444616,0.0223951584193855,0.0229662239499803,0.0190972036669133,0.0094302883460638,0.0079757197777831,0.0202900410578068
4.5,0.0223059463832113,0.0279343117856317,0.0454715858731004,0.0287274724493424,0.0208346814745002,0.0144624373772078,0.0174789316952228,0.013987723737955,8.812264746261967e-05,0.0003605653182603,0.0132316535131798
5.0,0.0299017783254385,0.0300434428370661,0.0472353717519177,0.0331107152418957,0.0240603143142329,0.0111164838696519,0.0125190939547287,0.0070060728014343,0.0019819754072361,0.0001812434913719,0.0090744410538011
5.5,0.0197043489250871,0.0278531664775477,0.048053804371092,0.0314581327968173,0.0217007853918605,0.008997235343688,0.0086137839179072,0.0077872294932603,0.0013294690886848,0.0,0.0058589732895294
6.0,0.0269951420249761,0.0272575432641637,0.0447392885883648,0.030865115010076,0.0224151510607312,0.0125115227161181,0.0148886843687958,0.0126569003763573,0.0014931414280672,0.0006763636009526,0.0091428570018183
11.0,0.0322138621575302,0.0335563224636846,0.0521560356848769,0.0390580784943368,0.0275209606107738,0.0139515063621931,0.0129390339263611,0.0083490836744507,0.0010993901095288,0.0,0.0094353525071508
11.5,0.0204569550438059,0.0324337020930316,0.0559804696175787,0.0554040140575832,0.0435436583227581,0.0164600762849052,0.0182161854787005,0.0148118087607953,7.820856343540881e-05,0.0006476933970892,0.0087146403061019
15.0,0.0267366280572281,0.0349684535629219,0.060701264689366,0.0566018236180146,0.0440667490992281,0.0248087470730145,0.0266835575716363,0.0192093520114819,0.0018793772647364,0.0,0.0179296286983622
15.5,0.0329839001513189,0.0270993347383207,0.0557810177819596,0.0526654174189186,0.0336434418956438,0.0108942522977789,0.0153173431754112,0.0042424625948519,0.0028353268021924,0.0,0.0094908212162812
17.0,0.0713285944528049,0.1007312155432171,0.1458493835396236,0.1499304158820046,0.1221655102239714,0.0936500951647758,0.1005478526155154,0.0836711699763933,0.0801040555040041,0.0678043754564391,0.094054633544551
17.5,0.0766993876960542,0.1011027859316931,0.1444376011689504,0.1496358894639545,0.1181170559591717,0.089838043683105,0.093929487797949,0.081917712257968,0.0689660761919286,0.0612602453264925,0.0869654632276958
19.0,0.0673923856682247,0.1008423252238167,0.1411110642883512,0.1478856305281321,0.1231870841648843,0.0971240293648507,0.1035801453722847,0.0834725954466396,0.0814857085545857,0.0697494720419247,0.093840115600162
20.0,0.0639967537588543,0.0932106011443668,0.1289819421039687,0.1377807673480775,0.116122205224302,0.0863975236813227,0.0912867859005928,0.0785254256592856,0.0646945817603005,0.0574305206537246,0.0819234326481819
21.0,0.0250164326280355,0.0421472742325729,0.0791383898920483,0.0827841121289465,0.0600551714499791,0.0218657594588067,0.020598157412476,0.0162528407656484,0.0002514765284205,3.1372816819283697e-05,0.0098099724079171
23.0,0.0294077245311604,0.0431601694888538,0.0803494594163364,0.0870367263754208,0.0665694433781835,0.0227315974318318,0.0216010248081551,0.0177646850546201,-0.0010821431642398,-0.0012017632729516,0.0099172421420613
23.5,0.0210701636970043,0.0334138356977038,0.0581709001627233,0.0663982373144891,0.056655139558845,0.0235769042952193,0.0226187869492504,0.018841725670629,0.001193274407544,0.0,0.0120079980956183
24.0,0.0400406488527853,0.0469905069718758,0.0801001990007028,0.0758322108950879,0.0555942437301079,0.0234462724895112,0.0245048135725988,0.017901685502794,0.0010788490277869,0.0003842514266175,0.0151654568293855
27.0,0.0258387256827619,0.0395071932839022,0.0749094966385099,0.0869133439328935,0.072615746822622,0.0276727732270956,0.0282461481789747,0.0219852185497681,-7.590931879046063e-05,0.0012974931030637,0.0129850782040092
29.0,0.0283927640153302,0.0434239212837484,0.081137989130285,0.0925170994467205,0.0721388260523478,0.0270008266799979,0.0245827159119976,0.0196502413600683,-0.0021240933177371,-0.0008402417879551,0.0127748135063383
29.5,0.0611619237396452,0.0784554400791724,0.1051279910736613,0.1187635064125061,0.0989028600354989,0.07204981168939,0.0752435206539101,0.0641418522767101,0.0481712561902693,0.0417468456758393,0.0664932922356658
34.0,0.0256231456167168,0.0409750524494383,0.0761537154515584,0.0959366518590185,0.0821844521496031,0.0328788438604937,0.0330786518752574,0.027190334474047,-0.0009351185096117,0.0004980931278421,0.0168442863764034
35.5,0.0296457925190528,0.040406656348043,0.0703844701250394,0.0783568869034449,0.0639368469516436,0.032452255487442,0.0339938199354542,0.0284412227984931,0.0012785023233542,0.0,0.0225966947360171
39.0,0.0676728139321009,0.0829939420024554,0.1132447818915049,0.1275401992930306,0.1130133395393689,0.0876345642738872,0.0958223516742388,0.0799614778823322,0.0630679618981149,0.0549463749759727,0.0833463337686326
39.5,0.0852699312898847,0.0916522468129793,0.1164501657088597,0.1331370721260706,0.1186996094054645,0.1000876335634125,0.1092730793688032,0.0894845790333218,0.082374428709348,0.0751509757505522,0.0978412222531106
41.0,0.0293452687975433,0.0458274380200439,0.0822887155744764,0.1004781847198804,0.0839704299966494,0.0337716949482758,0.0315434785766734,0.0259140870637363,-0.0019661219428396,-0.0009583812724384,0.0155770864544643
42.2,0.0197845649802022,0.0343331918120384,0.0599869812528292,0.0768769408265749,0.0690259817573759,0.0313578026576174,0.0333831440657377,0.026560749237736,0.0018713546968582,3.0338267808676595e-05,0.0160538229263491
42.5,0.0199637684143251,0.0344029950598875,0.0608358225888676,0.0808599657482571,0.074182064168983,0.0368363203273879,0.0392336580488416,0.031187064324816,0.0014060560303429,0.0,0.0201576941957076
44.0,0.0392451116608248,0.0537144645220703,0.0887707794706026,0.0845962812503178,0.0634457630415757,0.0312790407074822,0.0308074456536107,0.0247050760727789,0.0062873887493171,0.0050955906303392,0.0215294100344181
53.0,0.0269806440919637,0.0410112581319279,0.0757165965106752,0.0995886880490515,0.0901169313324822,0.0404507267392343,0.0400617255104912,0.0340011937336789,-0.0005962492614344,-0.0004173026180877,0.0238663868771659
54.0,0.0308759175240993,0.0452174068325095,0.0825577527284622,0.1061075462235344,0.093368064198229,0.0390254263248708,0.039993919018242,0.0311708953231573,-0.0023902111635026,-0.0014433006419696,0.0189125159134467
58.0,0.0192679547601275,0.032973147307833,0.0607125411430994,0.085799274345239,0.0817713687817255,0.0431447848677635,0.0445517562329769,0.0367509817911518,0.0009656528353742,0.0001024289328294,0.0261984510968128
63.0,0.0292390276574426,0.0447713997628953,0.080427601105637,0.1098952756987677,0.1036501237087779,0.0511180087924003,0.0508438837197091,0.0425759392480055,-0.0017822454942183,-2.4146642923975985e-05,0.0275402321583694
67.5,0.0309558922631873,0.0440844330522749,0.0784437350100941,0.104498330089781,0.0957370574275652,0.0521623107294241,0.0574747638569937,0.0443543812466992,0.0002093757874616,0.0001736793985603,0.0347674907081657
68.5,0.0193140844090117,0.0337616714338461,0.060355854117208,0.0882857574356926,0.0843804428974787,0.0455729083882437,0.0493592015571064,0.0435983737309773,0.0004613477956607,6.719031888577674e-05,0.0277198606895075
75.5,0.0205411811669667,0.0340707935392856,0.0616775879429446,0.090845628745026,0.089202318754461,0.0534656979143619,0.0532147019273704,0.045924155248536,0.0020584132936265,0.0,0.0304002561089065
80.0,0.0585041017168098,0.0641284208330843,0.1152488622400495,0.1444188356399536,0.1250467548767725,0.0595165507660971,0.0649197772145271,0.0452635068860318,9.078007214055916e-05,0.0004156356792211,0.0356572618087132
88.0,0.030938716398345,0.0461832260092099,0.0840502662791146,0.1160555779933929,0.1128406955136193,0.0601436578565173,0.0594056277639336,0.0480196484261088,-0.0028819078320844,-0.0016245737723592,0.0321371182799339
94.0,0.0240371382484833,0.0447711340255207,0.0815693926480081,0.1155476652913623,0.1088401277860005,0.0604161914024088,0.0622164085507392,0.0532153559227784,-0.0010534915555682,-0.0004244977276862,0.0355624763502015
95.0,0.0197405885491106,0.0349397539264626,0.0613681686421235,0.0932917727364434,0.093469598227077,0.0554903178579277,0.057146189113458,0.0489443780647383,0.0017411861335858,0.0,0.0394632356862227
108.0,0.0193170925809277,0.0330467292418082,0.0586614915066295,0.0932653811242845,0.0981199931767251,0.0634158162607087,0.065463797085815,0.0561808264917797,0.001260752013574,0.0001031882226622,0.0433384217321872
114.5,0.0182238146662712,0.0316218841407034,0.0584076547788249,0.0933071399728457,0.0962184435791439,0.0609463387065463,0.0647763692670398,0.0540388938453462,0.0008488603570084,9.094324842509296e-05,0.0398236359986994
127.0,0.0322345627678765,0.0479158581131034,0.0841907196574741,0.1238981179065174,0.1224814967976676,0.0799217224121093,0.0824032086465093,0.0690209302637312,0.0016688835231535,0.0,0.0559235558741622
129.0,0.0354239156262742,0.0346413280607925,0.0572219043970108,0.0860515282385879,0.0962064121332433,0.0689265016052458,0.0687270768814616,0.0491338240810566,0.0363627146644931,0.0335426042244459,0.054000926307506
130.0,0.0290883911980523,0.0486525471011797,0.0852882886926333,0.1229053487380345,0.1233590228690041,0.0774586076537768,0.0788071884049309,0.0661018788814544,-0.0015833862513924,-0.0004432259334458,0.0479895683626333
135.0,0.0326313604773194,0.0385706607528306,0.0658959296566468,0.0980712572733561,0.1056261959451215,0.0722061715744159,0.0724399600315976,0.055859579877169,0.0244931045971396,0.0224837339267617,0.0530616075352385
137.0,0.0301119589971171,0.0484934652017222,0.085163661175304,0.1242430292897754,0.1259617623355653,0.0778428167104721,0.0806480993827184,0.0667100797096888,-0.0007277892630857,7.367707278010332e-05,0.0456246336301167
161.0,0.0291411402738756,0.0473262824945979,0.0843882138530413,0.1257588929600185,0.1303226517306434,0.0839126424656973,0.0868400914801491,0.0769481385747591,0.0001435495279211,7.556047947016648e-05,0.0549939390685823
168.0,0.0478255454864766,0.0464363449977503,0.0822178324063619,0.1238745434416665,0.1275386702683237,0.085150905781322,0.0869094787372483,0.0738798081874847,0.012569412175152,0.0127938538692736,0.0566887276040183
185.5,0.0413674397601021,0.0466689467430114,0.0856300907002555,0.1287987480560938,0.1287043558226691,0.0917479553156428,0.0983652356598112,0.0832529465357462,0.0025211839367532,0.0,0.066611708038383
203.0,0.0830988801187939,0.1151681087083286,0.1753030187553829,0.2296546995639801,0.2123540275626712,0.1512365415692329,0.1584751134117444,0.1373511014713181,0.036329452232975,0.0322779087986822,0.1157335746619436
312.0,0.0853764605191018,0.107571048869027,0.1692783642146322,0.2269436948829227,0.2230824513567818,0.1680889245536592,0.1745848109324773,0.1484002313680119,0.0310933966603544,0.0271978814465304,0.1310719533099068
319.0,0.0936015347639719,0.1311143429742919,0.1959573576847712,0.2552216284804874,0.2435370203521516,0.1896267616086536,0.1991720050573349,0.1766287684440612,0.0520355266829331,0.0449238944177826,0.1525156729751163
382.0,0.1371027463012271,0.1609722193744447,0.223076441221767,0.2908466690116458,0.2892741627163357,0.2642122324970033,0.2647663686010573,0.224396021829711,0.1543397071460882,0.1498588708539804,0.2090965939892662
