turbidez,ln_B01,ln_B02,ln_B03,ln_B04,ln_B05,ln_B06,ln_B07,ln_B08,ln_B11,ln_B12,ln_B8A
2.0,-1.8702601950705782,-1.836361748176416,-1.7177038793986446,-1.7755580898900474,-1.8008058199055603,-1.910802673563564,-1.9042922491295902,-1.9330670499313962,-1.9296718730546045,-1.9488893509921466,-1.9307422013774813
4.0,-1.906900685065418,-1.857590677377428,-1.7590556716105024,-1.8484709241454973,-1.8946077111910467,-2.007188065819653,-1.9965072920503,-2.024700863022376,-2.066847111447259,-2.0754808769591633,-2.0227321998510472
4.5,-1.9514392955411854,-1.888637544204542,-1.8077533589824046,-1.9195170860316424,-1.9745761485749538,-2.0912723617673175,-2.0715339999707885,-2.0918740617283937,-2.140141513557238,-2.1490238725781414,-2.1056714464096067
5.0,-1.8861159372933656,-1.8794983835360624,-1.7450667412360727,-1.81618878315123,-1.8461584584902082,-1.952226583570329,-1.9478237844436714,-1.967860414208954,-1.986745887882984,-1.9961886076857176,-1.9807532357900748
6.0,-1.8700003289827667,-1.8556937285241468,-1.7800285463523564,-1.8740547119548852,-1.9227702317875823,-2.0312812054400102,-2.00326269938559,-2.0099154790312257,-2.038038382735012,-2.053340707007642,-2.0428578494204586
11.0,-1.8426975635487244,-1.8315403392399,-1.6988764750813419,-1.7622653940003528,-1.7853591616303692,-1.930997590488119,-1.915599876271938,-1.9545921734381628,-1.9653641288027803,-1.9838940163068253,-1.9603803109172984
15.0,-1.9252622908321617,-1.8468494355460152,-1.7216738616613676,-1.7492109659820991,-1.816462081868427,-2.023891210235053,-2.0156845758770854,-2.066284038075624,-2.1449879780007106,-2.171623840630035,-2.083064764297291
15.5,-1.8086640499208584,-1.8623965488274956,-1.663366254459656,-1.658628156624872,-1.713899912125239,-1.95589244569716,-1.942902177541009,-2.0261325024938137,-1.932444962945495,-1.9568552453569414,-1.9814632073958574
17.0,-1.6318290954851098,-1.5002845985375781,-1.3185941766447409,-1.3118880207839694,-1.374374024807625,-1.597684340411193,-1.594340646285845,-1.6750436695320943,-1.653970486350891,-1.695396813168191,-1.638888178899199
17.5,-1.592375965478184,-1.4959108341098808,-1.3240083750356133,-1.3124657930752266,-1.3960781780594922,-1.6251051439452031,-1.631942729024171,-1.6798007695420016,-1.7259561233186826,-1.7536491479727665,-1.6821056828601437
19.0,-1.6523091696113554,-1.4967046424468613,-1.3386477076525376,-1.3195083674418404,-1.3628274316215663,-1.5718310810158445,-1.5712092777664446,-1.6656555924323293,-1.6507048844143648,-1.693004472050353,-1.6306899229121454
20.0,-1.699575382686861,-1.540948871552179,-1.3956715229324879,-1.363533151783966,-1.403918197040108,-1.6394139892225605,-1.6441911197689794,-1.6963280846481132,-1.7538095953002588,-1.7797938437133454,-1.7048862962326021
21.0,-2.1734103992369644,-2.000589285902806,-1.7364509134691746,-1.7063771962858938,-1.8350149778990124,-2.144252692570114,-2.15531517425901,-2.181055996174636,-2.267539751251246,-2.2711940975363945,-2.2391930621587215
23.0,-2.1172126393668353,-1.993630885266725,-1.733427670000005,-1.6877598792095703,-1.7973752080136909,-2.1394274786100027,-2.1483391796064093,-2.1699985910826287,-2.289997977488575,-2.2925247571905443,-2.2392973537581273
24.0,-1.786117084130769,-1.749913998638161,-1.5548971191062493,-1.5673633693470868,-1.6110590173816415,-1.8785140610080113,-1.8766889240133904,-1.9245673141525492,-1.9866598082288702,-2.005638774826673,-1.9323322610861549
27.0,-2.1631915759670943,-2.0241119596275747,-1.7662216854402168,-1.6873393956472855,-1.7662379319979773,-2.104554242494911,-2.0967120441782443,-2.138012717704374,-2.280551839925974,-2.2692644970775238,-2.2148159013666238
29.0,-2.123045179161968,-1.9881799504015116,-1.7273459559036353,-1.656238390675377,-1.7599378569050994,-2.0980129272652714,-2.117581949684023,-2.147767968623627,-2.2992573029013714,-2.289778558946828,-2.205559214126278
29.5,-1.6805535711547102,-1.5909433297979363,-1.47982390497557,-1.4124102082504506,-1.4463540383808902,-1.6742764785806736,-1.6886990968727884,-1.736387835915301,-1.7936904991334537,-1.823675923548371,-1.745516196428383
34.0,-2.1472565357083138,-2.0090037886112753,-1.7594213613161105,-1.6382947388960825,-1.7101986836488567,-2.05789751211512,-2.0558226760812017,-2.0881011503178653,-2.289997977488575,-2.279167005002329,-2.1734103992369644
35.5,-1.9075678932138955,-1.8122343224174404,-1.6674201949724476,-1.6287906409499158,-1.6936124080885309,-1.970492472588858,-1.965993815839391,-1.9995219185039625,-2.1576013009916046,-2.1795135967930657,-2.0539904092503116
39.0,-1.6555472981033044,-1.5955350072651089,-1.4694827520117753,-1.4041415681636749,-1.4124045057119654,-1.6363025001111364,-1.6230545044279543,-1.6963886851995975,-1.7580668282615852,-1.79173446954055,-1.7037142518356279
39.5,-1.5154322447520039,-1.5369105538715144,-1.4513900744972679,-1.3777090979614672,-1.3845791662413076,-1.5729720588002183,-1.5621104577143843,-1.6423629295806172,-1.653161247191086,-1.6707409327135232,-1.6277680826607999
41.0,-2.1048277280702523,-1.9633389294901076,-1.7186329309039503,-1.6118853494105794,-1.6851197720718485,-2.0375747598066822,-2.0539037578919976,-2.0882804903470404,-2.294947665864835,-2.2902174441853846,-2.174876173672458
44.0,-1.7894745815731126,-1.7564566775256683,-1.556371191497408,-1.5590617051090339,-1.5970634045620442,-1.8748965428509128,-1.8739325695774356,-1.9310215365615626,-1.9935289162448262,-1.9971603157179068,-1.94895923724823
53.0,-2.1322623178634186,-2.0052827771652746,-1.7613595968369717,-1.6184225985611347,-1.657647515994794,-1.9912577041426278,-1.990713583303869,-2.026891259854332,-2.2855914180063683,-2.287238183782776,-2.1110354132710145
54.0,-2.0889981722653483,-1.9672245852255235,-1.7164046556566348,-1.5816065992855122,-1.6311156299469973,-1.9967357165868165,-1.989803986487246,-2.0443318312330776,-2.2983717593411774,-2.2932950460869534,-2.146626524573128
63.0,-2.1085785995347153,-1.9704077806557136,-1.7299747362871054,-1.5628724432867798,-1.584105260809978,-1.913795285148648,-1.913334058748909,-1.96025701942894,-2.294692708844383,-2.285195505456913,-2.077815087296372
67.5,-1.8990013832359907,-1.7882323634518986,-1.622917240657807,-1.4982941520205468,-1.5204735825878313,-1.8370183756336702,-1.8126043895229114,-1.8868763343855273,-2.169445270078492,-2.1809760525041333,-1.9676666422382079
80.0,-1.6430054681684987,-1.616742302433741,-1.3712087237018498,-1.2521520440366125,-1.2629048489429884,-1.6688341223907572,-1.665765788912765,-1.7396098749032989,-2.0281782477422943,-2.0392223955028004,-1.8394277629295566
88.0,-2.082200900767438,-1.9552985267226428,-1.704970339155664,-1.5279603372396064,-1.5264252604401818,-1.8512971819442514,-1.8574008204814922,-1.9201990850729678,-2.3035855933276292,-2.2959405502753776,-2.0425311876597387
94.0,-2.1415829382176854,-1.9677014190579711,-1.7210525120701083,-1.5320654333164432,-1.557956267730029,-1.8539274689396652,-1.8424345337064725,-1.8865098057738656,-2.2887095824584476,-2.2866092228464936,-2.017756044881815
127.0,-1.897749812815488,-1.7697370851935623,-1.5981133887028687,-1.4159749485547288,-1.397900339579246,-1.678043953987494,-1.6711692662441864,-1.7398630234395533,-2.171623840630035,-2.196331226492938,-1.8365084350503098
130.0,-2.0979846291960467,-1.9314814124031925,-1.6956617208494136,-1.4939290657244593,-1.4827991430661975,-1.7510094772999243,-1.744764566369951,-1.8040345001036677,-2.2955267286266,-2.286356382664058,-1.9339424649892265
135.0,-2.102460000891797,-1.9337839692574728,-1.6925780046469445,-1.4800679443159224,-1.456240067362114,-1.7320450654559763,-1.730413538989648,-1.7780538221719435,-2.251364023436868,-2.2589936037338516,-1.9052268308168359
137.0,-2.082735850851522,-1.9318648038889306,-1.6948747720512727,-1.4844708671373559,-1.4605390947617907,-1.7439856944232144,-1.733805075967499,-1.8010693385538328,-2.283872384061892,-2.2793026883718266,-1.9494274385833537
161.0,-2.0833435892193535,-1.9351680525234112,-1.695419516791312,-1.4735481917414512,-1.4468408609879244,-1.7111553806967046,-1.696983523010175,-1.7369556771873813,-2.2709316683150766,-2.2757808902419954,-1.883212514017619
168.0,-1.9323394544423707,-1.914680682740562,-1.6835031504582032,-1.458530581820304,-1.4240769976900411,-1.6635788246910952,-1.656569556874705,-1.733805075967499,-2.0768670806724856,-2.081254294835592,-1.8245065151882112
185.5,-1.824553875394883,-1.7645983611656826,-1.5767556222742598,-1.3826565415719347,-1.3545696214256493,-1.5986456643655418,-1.5726707944920695,-1.6413299902026506,-2.1295367236814036,-2.158815491540255,-1.75366920248092
203.0,-1.5495750185672483,-1.4020624713695446,-1.174198275624705,-1.0105403631478256,-0.9876524783598517,-1.2996249407389062,-1.2816991382238823,-1.3668403784711893,-1.8959909928077159,-1.9232310798987784,-1.494204420400035
312.0,-1.5234226911650919,-1.3971081757790318,-1.167676591277632,-0.9808292530117262,-0.9499893587381699,-1.2264456601779947,-1.2118136487479805,-1.2909033764995548,-1.9066513757288939,-1.9447455496867132,-1.401678763163638
319.0,-1.5259236734019204,-1.329788011679584,-1.1188830255104694,-0.9400712605395585,-0.9200355823040325,-1.1862056531614356,-1.1743802917572297,-1.2369552382898543,-1.8630764679790985,-1.8995534990365832,-1.3627270426821723
382.0,-1.2725317421979205,-1.2270519045130222,-1.00342332833178,-0.8431951768036043,-0.7478512558132442,-0.9716786551344044,-0.9375799844836956,-1.0895864774607973,-1.2724226685061388,-1.2473902745205074,-1.0640015440847332
